"Participant" "Onset" "Determiner" "Agecat" "Age" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"119" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "900" 1 5 5 2.39789527279837
"120" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "1000" 1 5 5 2.39789527279837
"121" "P0145yo" "Same" "A" "Four-Five" 61 "N" "100" 0.6 3 5 0.336472236621213
"122" "P0145yo" "Same" "A" "Four-Five" 61 "N" "200" 0.6 3 5 0.336472236621213
"123" "P0145yo" "Same" "A" "Four-Five" 61 "N" "300" 0.4 2 5 -0.336472236621213
"124" "P0145yo" "Same" "A" "Four-Five" 61 "N" "400" 0.4 2 5 -0.336472236621213
"125" "P0145yo" "Same" "A" "Four-Five" 61 "N" "500" 0.4 2 5 -0.336472236621213
"126" "P0145yo" "Same" "A" "Four-Five" 61 "N" "600" 0.4 2 5 -0.336472236621213
"127" "P0145yo" "Same" "A" "Four-Five" 61 "N" "700" 0.6 3 5 0.336472236621213
"128" "P0145yo" "Same" "A" "Four-Five" 61 "N" "800" 0.8 4 5 1.09861228866811
"129" "P0145yo" "Same" "A" "Four-Five" 61 "N" "900" 0.8 4 5 1.09861228866811
"130" "P0145yo" "Same" "A" "Four-Five" 61 "N" "1000" 0.8 4 5 1.09861228866811
"131" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "100" 0.2 1 5 -1.09861228866811
"132" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "200" 0.2 1 5 -1.09861228866811
"133" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "300" 0.2 1 5 -1.09861228866811
"134" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "400" 0.2 1 5 -1.09861228866811
"135" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "500" 0.4 2 5 -0.336472236621213
"136" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "600" 0.4 2 5 -0.336472236621213
"137" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "700" 0.8 4 5 1.09861228866811
"138" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "800" 0.8 4 5 1.09861228866811
"139" "P0145yo" "Same" "A" "Four-Five" 61 "Y" "900" 0.8 4 5 1.09861228866811
