"ItemN" "Onset" "Determiner" "Agecat" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"148" 2 "Same" "A" "Three" "N" "800" 0.833333333333333 15 18 1.48807705542983
"149" 2 "Same" "A" "Three" "N" "900" 0.833333333333333 15 18 1.48807705542983
"150" 2 "Same" "A" "Three" "N" "1000" 0.888888888888889 16 18 1.88706964903238
"151" 2 "Same" "A" "Three" "Y" "100" 0.75 12 16 1.02165124753198
"152" 2 "Same" "A" "Three" "Y" "200" 0.8125 13 16 1.34992671694902
"153" 2 "Same" "A" "Three" "Y" "300" 0.8125 13 16 1.34992671694902
"154" 2 "Same" "A" "Three" "Y" "400" 0.75 12 16 1.02165124753198
"155" 2 "Same" "A" "Three" "Y" "500" 0.75 12 16 1.02165124753198
"156" 2 "Same" "A" "Three" "Y" "600" 0.875 14 16 1.75785791755237
"157" 2 "Same" "A" "Three" "Y" "700" 0.8125 13 16 1.34992671694902
"158" 2 "Same" "A" "Three" "Y" "800" 0.8125 13 16 1.34992671694902
"159" 2 "Same" "A" "Three" "Y" "900" 0.75 12 16 1.02165124753198
"160" 2 "Same" "A" "Three" "Y" "1000" 0.8125 13 16 1.34992671694902
"161" 3 "Different" "AN" "Four-Five" "N" "100" 0.35 7 20 -0.587786664902119
"162" 3 "Different" "AN" "Four-Five" "N" "200" 0.6 12 20 0.385662480811985
"163" 3 "Different" "AN" "Four-Five" "N" "300" 0.6 12 20 0.385662480811985
"164" 3 "Different" "AN" "Four-Five" "N" "400" 0.65 13 20 0.587786664902119
"165" 3 "Different" "AN" "Four-Five" "N" "500" 0.65 13 20 0.587786664902119
"166" 3 "Different" "AN" "Four-Five" "N" "600" 0.7 14 20 0.802346472524937
"167" 3 "Different" "AN" "Four-Five" "N" "700" 0.75 15 20 1.03609193168678
"168" 3 "Different" "AN" "Four-Five" "N" "800" 0.85 17 20 1.6094379124341
"169" 3 "Different" "AN" "Four-Five" "N" "900" 0.95 19 20 2.56494935746154
"170" 3 "Different" "AN" "Four-Five" "N" "1000" 0.95 19 20 2.56494935746154
"171" 3 "Different" "AN" "Four-Five" "Y" "100" 0.352941176470588 6 17 -0.570544858467613
"172" 3 "Different" "AN" "Four-Five" "Y" "200" 0.411764705882353 7 17 -0.336472236621213
"173" 3 "Different" "AN" "Four-Five" "Y" "300" 0.411764705882353 7 17 -0.336472236621213
"174" 3 "Different" "AN" "Four-Five" "Y" "400" 0.470588235294118 8 17 -0.111225635110224
"175" 3 "Different" "AN" "Four-Five" "Y" "500" 0.588235294117647 10 17 0.336472236621213
"176" 3 "Different" "AN" "Four-Five" "Y" "600" 0.647058823529412 11 17 0.570544858467613
"177" 3 "Different" "AN" "Four-Five" "Y" "700" 0.882352941176471 15 17 1.82454929205105
"178" 3 "Different" "AN" "Four-Five" "Y" "800" 0.882352941176471 15 17 1.82454929205105
"179" 3 "Different" "AN" "Four-Five" "Y" "900" 0.882352941176471 15 17 1.82454929205105
"180" 3 "Different" "AN" "Four-Five" "Y" "1000" 0.941176470588235 16 17 2.39789527279837
"181" 3 "Different" "AN" "Three" "N" "100" 0.315789473684211 6 19 -0.730887508542792
"182" 3 "Different" "AN" "Three" "N" "200" 0.315789473684211 6 19 -0.730887508542792
"183" 3 "Different" "AN" "Three" "N" "300" 0.315789473684211 6 19 -0.730887508542792
"184" 3 "Different" "AN" "Three" "N" "400" 0.315789473684211 6 19 -0.730887508542792
"185" 3 "Different" "AN" "Three" "N" "500" 0.421052631578947 8 19 -0.302280871872934
"186" 3 "Different" "AN" "Three" "N" "600" 0.473684210526316 9 19 -0.100083458556983
"187" 3 "Different" "AN" "Three" "N" "700" 0.684210526315789 13 19 0.730887508542792
"188" 3 "Different" "AN" "Three" "N" "800" 0.736842105263158 14 19 0.969400557188103
"189" 3 "Different" "AN" "Three" "N" "900" 0.842105263157895 16 19 1.55059741241117
"190" 3 "Different" "AN" "Three" "N" "1000" 0.842105263157895 16 19 1.55059741241117
"191" 3 "Different" "AN" "Three" "Y" "100" 0.722222222222222 13 18 0.897941593205959
"192" 3 "Different" "AN" "Three" "Y" "200" 0.722222222222222 13 18 0.897941593205959
"193" 3 "Different" "AN" "Three" "Y" "300" 0.722222222222222 13 18 0.897941593205959
"194" 3 "Different" "AN" "Three" "Y" "400" 0.777777777777778 14 18 1.17007125265025
"195" 3 "Different" "AN" "Three" "Y" "500" 0.777777777777778 14 18 1.17007125265025
"196" 3 "Different" "AN" "Three" "Y" "600" 0.666666666666667 12 18 0.653926467406664
"197" 3 "Different" "AN" "Three" "Y" "700" 0.611111111111111 11 18 0.42744401482694
"198" 3 "Different" "AN" "Three" "Y" "800" 0.722222222222222 13 18 0.897941593205959
"199" 3 "Different" "AN" "Three" "Y" "900" 0.833333333333333 15 18 1.48807705542983
"200" 3 "Different" "AN" "Three" "Y" "1000" 0.888888888888889 16 18 1.88706964903238
"201" 3 "Same" "AN" "Four-Five" "N" "100" 0.35 7 20 -0.587786664902119
"202" 3 "Same" "AN" "Four-Five" "N" "200" 0.55 11 20 0.191055236762709
"203" 3 "Same" "AN" "Four-Five" "N" "300" 0.55 11 20 0.191055236762709
"204" 3 "Same" "AN" "Four-Five" "N" "400" 0.55 11 20 0.191055236762709
"205" 3 "Same" "AN" "Four-Five" "N" "500" 0.55 11 20 0.191055236762709
"206" 3 "Same" "AN" "Four-Five" "N" "600" 0.75 15 20 1.03609193168678
"207" 3 "Same" "AN" "Four-Five" "N" "700" 0.75 15 20 1.03609193168678
"208" 3 "Same" "AN" "Four-Five" "N" "800" 0.8 16 20 1.29928298413026
"209" 3 "Same" "AN" "Four-Five" "N" "900" 0.95 19 20 2.56494935746154
"210" 3 "Same" "AN" "Four-Five" "N" "1000" 0.95 19 20 2.56494935746154
"211" 3 "Same" "AN" "Four-Five" "Y" "100" 0.588235294117647 10 17 0.336472236621213
"212" 3 "Same" "AN" "Four-Five" "Y" "200" 0.588235294117647 10 17 0.336472236621213
"213" 3 "Same" "AN" "Four-Five" "Y" "300" 0.588235294117647 10 17 0.336472236621213
"214" 3 "Same" "AN" "Four-Five" "Y" "400" 0.705882352941177 12 17 0.82098055206983
"215" 3 "Same" "AN" "Four-Five" "Y" "500" 0.705882352941177 12 17 0.82098055206983
"216" 3 "Same" "AN" "Four-Five" "Y" "600" 0.764705882352941 13 17 1.09861228866811
"217" 3 "Same" "AN" "Four-Five" "Y" "700" 0.882352941176471 15 17 1.82454929205105
"218" 3 "Same" "AN" "Four-Five" "Y" "800" 1 17 17 3.55534806148941
