"Participant" "TrialN" "ItemN" "Onset" "Determiner" "OldNew" "Agecat" "DO" "FixLoc" "FixationStart" "NOFIX" "DURPOSTDO3" "DISCARDONSET.D" "Perc_Dur" "DiscardTrial" "FixStart.rel" "DC" "DCC" "OC" "OCC" "AC" "ACC" "FixStart.rel.inv"
"P0145yo" 17 17 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 5840.9 0 1799 0 77.2103004291845 0 1830.9 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000546179474575346
"P0145yo" 18 18 "Same" "AN" "Y" "Four-Five" 4020 "TARGET" 4913.4 0 2153.3 0 92.8146551724138 0 893.4 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00111931945377211
"P0145yo" 19 19 "Different" "A" "Y" "Four-Five" 4010 "TARGET" 5630.9 0 2130.1 0 91.4206008583691 0 1620.9 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000616941205503116
"P0145yo" 21 1 "Same" "A" "N" "Four-Five" 4020 "TARGET" 5856.6 0 2086.7 0 89.9439655172414 0 1836.6 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000544484373298486
"P0145yo" 24 6 "Different" "A" "N" "Four-Five" 4020 "TARGET" 4966.8 0 1986.6 0 85.6293103448276 0 946.8 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00105618926911703
"P0145yo" 26 16 "Same" "A" "N" "Four-Five" 4020 "TARGET" 5991.3 0 2119.9 0 91.375 0 1971.3 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000507279460254654
"P0145yo" 29 13 "Same" "AN" "N" "Four-Five" 4020 "TARGET" 6038.4 0 2053.3 0 88.5043103448276 0 2018.4 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000495441934205311
"P0145yo" 34 12 "Different" "AN" "Y" "Four-Five" 4010 "TARGET" 4529.1 0 2096.7 0 89.9871244635193 0 519.1 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00192641109612791
"P0145yo" 35 3 "Same" "AN" "Y" "Four-Five" 4010 "TARGET" 4467.8 0 1772.2 0 76.0600858369099 0 457.8 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00218435998252512
"P0145yo" 36 20 "Different" "AN" "N" "Four-Five" 4010 "TARGET" 4206.4 0 2096.7 0 89.9871244635193 0 196.4 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00509164969450103
"P0145yo" 37 17 "Same" "AN" "Y" "Four-Five" 4010 "TARGET" 6294.8 0 2163.3 0 92.8454935622317 0 2284.8 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000437675070028011
